t # 0
v 0 4
v 1 3
v 2 9
v 3 5
v 4 6
v 5 7
v 6 2
v 7 8
v 8 5
v 9 0
v 10 7
v 11 4
v 12 5
v 13 9
v 14 0
v 15 7
v 16 5
v 17 0
v 18 3
v 19 4
v 20 4
v 21 5
v 22 3
v 23 9
v 24 3
v 25 9
v 26 6
v 27 1
v 28 6
v 29 1
v 30 0
v 31 9
v 32 1
v 33 3
v 34 4
v 35 8
v 36 7
v 37 0
v 38 9
v 39 6
v 40 5
v 41 7
v 42 0
v 43 0
v 44 3
v 45 5
v 46 4
v 47 8
v 48 3
v 49 0
v 50 0
v 51 8
v 52 0
v 53 3
v 54 1
v 55 8
v 56 5
v 57 2
v 58 4
v 59 4
v 60 8
v 61 7
v 62 6
v 63 5
v 64 5
v 65 2
v 66 5
v 67 2
v 68 6
v 69 5
v 70 2
v 71 4
v 72 2
v 73 6
v 74 9
v 75 7
v 76 2
v 77 7
v 78 6
v 79 9
v 80 9
v 81 7
v 82 0
v 83 7
v 84 4
v 85 9
v 86 0
v 87 2
v 88 4
v 89 6
v 90 2
v 91 1
v 92 2
v 93 8
v 94 1
v 95 4
v 96 6
v 97 8
v 98 6
v 99 3
v 100 2
v 101 7
v 102 1
v 103 7
v 104 3
v 105 7
v 106 8
v 107 3
v 108 3
v 109 0
v 110 6
v 111 4
v 112 1
v 113 7
v 114 8
v 115 0
v 116 2
v 117 9
v 118 2
v 119 0
v 120 7
v 121 2
v 122 2
v 123 2
v 124 1
v 125 8
v 126 1
v 127 6
v 128 2
v 129 5
v 130 1
v 131 8
v 132 1
v 133 0
v 134 3
v 135 5
v 136 6
v 137 5
v 138 1
v 139 1
v 140 5
v 141 5
v 142 4
v 143 9
v 144 3
v 145 1
v 146 2
v 147 7
v 148 7
v 149 4
v 150 5
v 151 3
v 152 5
v 153 4
v 154 8
v 155 5
v 156 3
v 157 2
v 158 1
v 159 3
v 160 3
v 161 6
v 162 2
v 163 5
v 164 6
v 165 6
v 166 0
v 167 6
v 168 8
v 169 9
v 170 3
v 171 1
v 172 2
v 173 5
v 174 4
v 175 8
v 176 8
v 177 6
v 178 9
v 179 7
v 180 6
v 181 2
v 182 8
v 183 6
v 184 4
v 185 5
v 186 3
v 187 2
v 188 4
v 189 6
v 190 9
v 191 3
v 192 7
v 193 1
v 194 8
v 195 4
v 196 6
v 197 8
v 198 1
v 199 2
v 200 5
v 201 1
v 202 3
v 203 4
v 204 7
v 205 7
v 206 4
v 207 8
v 208 8
v 209 0
v 210 7
v 211 9
v 212 2
v 213 1
v 214 1
v 215 6
v 216 1
v 217 6
v 218 8
v 219 1
v 220 5
v 221 1
v 222 7
v 223 8
v 224 8
v 225 2
v 226 4
v 227 4
v 228 0
v 229 4
v 230 1
v 231 5
v 232 3
v 233 9
v 234 7
v 235 4
v 236 4
v 237 6
v 238 6
v 239 9
v 240 7
v 241 1
v 242 9
v 243 6
v 244 9
v 245 2
v 246 5
v 247 5
v 248 9
v 249 0
v 250 6
v 251 6
v 252 0
v 253 4
v 254 1
v 255 0
v 256 0
v 257 7
v 258 0
v 259 1
v 260 2
v 261 4
v 262 1
v 263 5
v 264 9
v 265 5
v 266 5
v 267 2
v 268 2
v 269 9
v 270 8
v 271 9
v 272 2
v 273 2
v 274 6
v 275 8
v 276 9
v 277 3
v 278 9
v 279 4
v 280 2
v 281 1
v 282 0
v 283 0
v 284 5
v 285 0
v 286 6
v 287 8
v 288 5
v 289 1
v 290 5
v 291 7
v 292 9
v 293 0
v 294 0
v 295 9
v 296 0
v 297 9
v 298 7
v 299 2
v 300 7
v 301 2
v 302 3
v 303 5
v 304 4
v 305 3
v 306 2
v 307 7
v 308 1
v 309 7
v 310 8
v 311 6
v 312 0
v 313 2
v 314 1
v 315 0
