t # 0
v 0 9
v 1 3
v 2 7
v 3 0
v 4 6
v 5 7
v 6 5
v 7 1
v 8 7
v 9 2
v 10 5
v 11 1
v 12 5
v 13 9
v 14 5
v 15 6
v 16 4
v 17 0
v 18 3
v 19 7
v 20 8
v 21 7
v 22 1
v 23 0
v 24 9
v 25 3
v 26 0
v 27 6
v 28 4
v 29 3
v 30 0
v 31 0
v 32 4
v 33 8
v 34 1
v 35 0
v 36 8
v 37 3
v 38 1
v 39 1
v 40 5
v 41 6
v 42 3
v 43 2
v 44 5
v 45 9
v 46 4
v 47 9
v 48 5
v 49 2
v 50 3
v 51 1
v 52 4
v 53 1
v 54 3
v 55 0
v 56 7
v 57 7
v 58 1
v 59 8
v 60 9
v 61 7
v 62 1
v 63 8
v 64 2
v 65 8
v 66 5
v 67 1
v 68 4
v 69 2
v 70 5
v 71 5
v 72 2
v 73 7
v 74 7
v 75 9
v 76 8
v 77 8
v 78 7
v 79 0
v 80 7
v 81 5
v 82 8
v 83 8
v 84 4
v 85 9
v 86 2
v 87 4
v 88 0
v 89 5
v 90 4
v 91 2
v 92 4
v 93 3
v 94 1
v 95 3
v 96 0
v 97 0
v 98 8
v 99 5
v 100 1
v 101 0
v 102 6
v 103 9
v 104 8
v 105 9
v 106 0
v 107 7
v 108 0
v 109 9
v 110 1
v 111 5
v 112 6
v 113 3
v 114 2
v 115 4
v 116 9
v 117 2
v 118 8
v 119 0
v 120 6
v 121 9
v 122 6
v 123 4
v 124 3
v 125 8
v 126 3
v 127 7
v 128 3
v 129 6
v 130 8
v 131 0
v 132 8
v 133 6
v 134 4
v 135 3
v 136 1
v 137 7
v 138 0
v 139 7
v 140 0
v 141 5
v 142 3
v 143 0
v 144 3
v 145 2
v 146 1
v 147 2
v 148 9
v 149 0
v 150 2
v 151 8
v 152 9
v 153 0
v 154 9
v 155 3
v 156 4
v 157 7
v 158 3
v 159 2
v 160 2
v 161 3
v 162 4
v 163 9
v 164 2
v 165 4
v 166 1
v 167 0
v 168 2
v 169 8
v 170 1
v 171 8
v 172 0
v 173 3
v 174 8
v 175 7
v 176 7
v 177 0
v 178 7
v 179 5
v 180 9
v 181 7
v 182 0
v 183 6
v 184 7
v 185 6
v 186 7
v 187 9
v 188 5
v 189 8
v 190 6
v 191 3
v 192 0
v 193 3
v 194 2
v 195 5
v 196 1
v 197 6
v 198 0
v 199 9
v 200 0
v 201 8
v 202 0
v 203 6
v 204 4
v 205 5
v 206 5
v 207 0
v 208 7
v 209 0
v 210 2
v 211 2
v 212 7
v 213 5
v 214 6
v 215 5
v 216 6
