t # 0
v 0 2 
v 1 2 
v 2 0 
v 3 1 
v 4 4 
v 5 0 
e 0 2 0
e 0 3 3
e 0 4 2
e 0 5 4
e 1 4 1
e 2 3 4
e 4 5 2
t # 1
v 0 2 
v 1 2 
v 2 1 
v 3 1 
v 4 2 
v 5 1 
e 0 4 3
e 0 5 0
e 1 2 3
e 2 4 1
e 3 4 4
e 3 5 0
e 4 5 0
t # 2
v 0 3 
v 1 3 
v 2 3 
v 3 1 
v 4 3 
v 5 3 
e 1 2 4
e 1 3 1
e 1 4 0
e 1 5 1
e 2 3 0
t # 3
v 0 3 
v 1 3 
v 2 3 
v 3 2 
v 4 0 
v 5 2 
e 0 1 0
e 1 5 0
e 3 4 2
e 4 5 4
t # 4
v 0 1 
v 1 2 
v 2 4 
v 3 1 
v 4 2 
v 5 0 
e 4 5 1
t # 5
v 0 3 
v 1 0 
v 2 0 
v 3 4 
v 4 0 
v 5 4 
e 0 2 2
e 0 3 0
e 0 4 1
e 0 5 3
e 1 3 3
e 2 4 0
e 3 4 2
e 3 5 3
t # 6
v 0 0 
v 1 3 
v 2 0 
v 3 3 
v 4 1 
v 5 0 
e 1 5 2
e 2 5 1
e 3 5 3
t # 7
v 0 0 
v 1 3 
v 2 3 
v 3 4 
v 4 1 
v 5 0 
e 0 2 1
e 1 5 1
e 3 4 0
e 3 5 0
t # 8
v 0 4 
v 1 1 
v 2 0 
v 3 1 
v 4 3 
v 5 0 
e 0 2 2
e 0 3 0
e 2 5 2
t # 9
v 0 3 
v 1 1 
v 2 1 
v 3 0 
v 4 4 
v 5 4 
e 0 1 4
e 2 4 4
t # 10
v 0 4 
v 1 4 
v 2 2 
v 3 3 
v 4 0 
v 5 4 
e 0 2 2
e 0 3 3
e 0 5 3
e 1 2 0
e 1 4 0
e 2 4 2
t # 11
v 0 4 
v 1 1 
v 2 1 
v 3 3 
v 4 3 
v 5 3 
e 3 4 2
t # 12
v 0 2 
v 1 0 
v 2 0 
v 3 0 
v 4 1 
v 5 4 
e 0 1 0
t # 13
v 0 1 
v 1 1 
v 2 3 
v 3 3 
v 4 4 
v 5 0 
e 0 4 3
e 4 5 1
t # 14
v 0 4 
v 1 0 
v 2 0 
v 3 0 
v 4 1 
v 5 2 
e 2 5 0
e 3 4 2
t # 15
v 0 1 
v 1 1 
v 2 2 
v 3 4 
v 4 3 
v 5 4 
e 0 1 2
e 0 4 3
e 0 5 4
e 1 2 2
e 1 4 4
e 1 5 2
e 2 3 0
e 3 4 1
e 3 5 0
e 4 5 4
t # 16
v 0 1 
v 1 1 
v 2 2 
v 3 4 
v 4 2 
v 5 3 
e 0 2 4
e 0 3 2
e 0 4 1
e 2 3 2
e 4 5 4
t # 17
v 0 4 
v 1 1 
v 2 1 
v 3 3 
v 4 2 
v 5 0 
e 0 1 0
e 0 3 2
e 1 4 4
e 3 4 2
t # 18
v 0 1 
v 1 2 
v 2 1 
v 3 3 
v 4 3 
v 5 2 
e 0 1 2
e 0 3 2
e 2 5 2
e 4 5 0
t # 19
v 0 4 
v 1 2 
v 2 0 
v 3 4 
v 4 0 
v 5 3 
e 2 3 2
e 2 4 0
e 3 4 0
e 3 5 4
t # 20
v 0 3 
v 1 2 
v 2 3 
v 3 3 
v 4 3 
v 5 2 
t # 21
v 0 2 
v 1 4 
v 2 4 
v 3 4 
v 4 2 
v 5 3 
t # 22
v 0 3 
v 1 4 
v 2 4 
v 3 0 
v 4 4 
v 5 4 
t # 23
v 0 3 
v 1 1 
v 2 3 
v 3 0 
v 4 2 
v 5 3 
e 0 5 3
t # 24
v 0 1 
v 1 1 
v 2 0 
v 3 2 
v 4 1 
v 5 1 
e 0 2 4
e 1 3 0
e 1 4 3
e 2 4 4
e 3 5 1
t # 25
v 0 3 
v 1 2 
v 2 1 
v 3 1 
v 4 3 
v 5 3 
e 0 1 1
e 0 5 4
e 3 4 3
t # 26
v 0 0 
v 1 1 
v 2 1 
v 3 1 
v 4 1 
v 5 2 
t # 27
v 0 1 
v 1 4 
v 2 1 
v 3 1 
v 4 2 
v 5 4 
t # 28
v 0 0 
v 1 2 
v 2 4 
v 3 0 
v 4 0 
v 5 1 
e 0 4 1
e 1 3 0
e 2 3 4
t # 29
v 0 3 
v 1 3 
v 2 2 
v 3 2 
v 4 1 
v 5 4 
e 0 1 2
e 0 4 0
e 1 2 4
e 1 5 1
e 2 3 4
e 3 4 1
e 3 5 3
e 4 5 3
t # 30
v 0 2 
v 1 1 
v 2 3 
v 3 3 
v 4 4 
v 5 4 
e 0 2 4
e 0 5 3
e 2 3 3
e 3 5 2
t # 31
v 0 0 
v 1 4 
v 2 3 
v 3 2 
v 4 1 
v 5 3 
t # 32
v 0 4 
v 1 1 
v 2 3 
v 3 3 
v 4 1 
v 5 3 
e 0 4 4
e 3 4 1
t # 33
v 0 1 
v 1 1 
v 2 2 
v 3 3 
v 4 1 
v 5 2 
e 1 2 2
e 4 5 1
t # 34
v 0 2 
v 1 2 
v 2 1 
v 3 1 
v 4 0 
v 5 3 
e 0 1 4
e 0 2 4
e 0 4 1
e 0 5 3
e 1 3 2
e 4 5 4
t # 35
v 0 1 
v 1 1 
v 2 0 
v 3 1 
v 4 0 
v 5 3 
e 1 5 4
e 2 3 1
e 3 4 0
e 3 5 0
t # 36
v 0 3 
v 1 4 
v 2 1 
v 3 0 
v 4 0 
v 5 2 
t # 37
v 0 1 
v 1 1 
v 2 3 
v 3 2 
v 4 3 
v 5 2 
e 1 2 3
e 1 4 2
t # 38
v 0 3 
v 1 3 
v 2 3 
v 3 3 
v 4 4 
v 5 2 
t # 39
v 0 1 
v 1 4 
v 2 2 
v 3 0 
v 4 2 
v 5 3 
e 0 2 4
e 2 3 4
e 4 5 1
t # 40
v 0 3 
v 1 4 
v 2 1 
v 3 1 
v 4 3 
v 5 2 
e 0 2 0
e 0 5 1
e 2 5 2
t # 41
v 0 2 
v 1 4 
v 2 3 
v 3 1 
v 4 0 
v 5 3 
e 2 5 2
e 3 4 4
t # 42
v 0 2 
v 1 2 
v 2 2 
v 3 1 
v 4 1 
v 5 2 
e 0 1 2
t # 43
v 0 2 
v 1 3 
v 2 4 
v 3 1 
v 4 4 
v 5 1 
e 0 1 0
e 0 2 1
e 1 3 0
e 1 4 2
e 2 5 1
t # 44
v 0 4 
v 1 4 
v 2 2 
v 3 1 
v 4 4 
v 5 2 
t # 45
v 0 4 
v 1 1 
v 2 1 
v 3 0 
v 4 0 
v 5 4 
e 1 4 3
t # 46
v 0 0 
v 1 2 
v 2 3 
v 3 2 
v 4 0 
v 5 1 
e 0 1 2
e 0 3 3
e 1 2 3
e 1 3 0
e 1 4 1
e 1 5 0
e 2 3 1
e 2 4 0
e 3 4 3
t # 47
v 0 4 
v 1 4 
v 2 3 
v 3 3 
v 4 4 
v 5 4 
e 0 5 4
e 1 5 1
t # 48
v 0 3 
v 1 1 
v 2 1 
v 3 3 
v 4 0 
v 5 1 
e 2 4 2
t # 49
v 0 2 
v 1 0 
v 2 0 
v 3 0 
v 4 4 
v 5 1 
e 0 3 0
e 0 4 0
e 1 2 3
e 1 4 2
e 2 4 3
e 2 5 1
t # 50
v 0 4 
v 1 0 
v 2 1 
v 3 1 
v 4 3 
v 5 2 
e 0 5 2
t # 51
v 0 4 
v 1 3 
v 2 1 
v 3 4 
v 4 1 
v 5 0 
e 1 3 3
e 1 4 4
e 2 3 1
e 3 4 2
e 3 5 3
t # 52
v 0 3 
v 1 2 
v 2 0 
v 3 4 
v 4 1 
v 5 4 
e 0 2 4
e 0 4 4
e 0 5 0
e 1 3 2
e 2 3 3
e 3 4 2
t # 53
v 0 0 
v 1 3 
v 2 2 
v 3 1 
v 4 3 
v 5 0 
e 0 2 4
e 1 3 4
