t # 0
v 0 0
v 1 0
v 2 5
v 3 0
v 4 0
v 5 6
v 6 4
v 7 7
v 8 6
v 9 6
v 10 2
v 11 6
v 12 9
v 13 9
v 14 6
v 15 4
v 16 1
v 17 1
v 18 1
v 19 2
v 20 5
v 21 4
v 22 1
v 23 9
v 24 8
v 25 8
v 26 6
v 27 2
v 28 8
v 29 6
v 30 3
v 31 9
v 32 2
v 33 3
v 34 1
v 35 6
v 36 4
v 37 2
v 38 6
v 39 8
v 40 5
v 41 8
v 42 7
v 43 9
v 44 1
v 45 3
v 46 5
v 47 8
v 48 3
v 49 6
v 50 6
v 51 8
v 52 0
v 53 9
v 54 0
v 55 6
v 56 7
v 57 6
v 58 2
v 59 7
v 60 5
v 61 8
v 62 4
v 63 7
v 64 4
v 65 9
v 66 2
v 67 7
v 68 7
v 69 6
v 70 0
v 71 3
v 72 1
v 73 8
v 74 1
v 75 3
v 76 8
v 77 4
v 78 3
v 79 3
v 80 2
v 81 3
v 82 0
v 83 1
v 84 0
v 85 2
v 86 0
v 87 5
v 88 2
v 89 4
v 90 9
v 91 9
v 92 6
v 93 5
v 94 6
v 95 4
v 96 4
v 97 3
v 98 9
v 99 8
v 100 9
v 101 4
v 102 3
v 103 7
v 104 9
v 105 3
v 106 9
v 107 7
v 108 5
v 109 7
v 110 9
v 111 5
v 112 7
v 113 1
v 114 1
v 115 6
v 116 8
v 117 1
v 118 5
v 119 3
v 120 8
v 121 5
v 122 1
v 123 1
v 124 8
v 125 9
v 126 6
v 127 2
v 128 8
v 129 5
v 130 2
v 131 0
v 132 6
v 133 2
v 134 1
v 135 2
v 136 4
v 137 6
v 138 3
v 139 5
v 140 7
v 141 2
v 142 1
v 143 9
v 144 3
v 145 4
v 146 2
v 147 7
v 148 2
v 149 4
v 150 6
v 151 7
v 152 1
v 153 3
v 154 0
v 155 2
v 156 9
v 157 9
v 158 2
v 159 9
v 160 0
v 161 4
v 162 0
v 163 2
v 164 7
v 165 1
v 166 2
v 167 9
v 168 4
v 169 3
v 170 7
v 171 0
v 172 4
v 173 5
v 174 2
v 175 5
v 176 2
v 177 4
v 178 9
v 179 1
v 180 7
v 181 6
v 182 4
v 183 4
v 184 8
v 185 6
v 186 8
v 187 6
v 188 6
v 189 1
v 190 0
v 191 7
v 192 3
v 193 5
v 194 8
v 195 5
v 196 0
v 197 4
v 198 8
v 199 0
v 200 2
v 201 4
v 202 0
v 203 2
v 204 8
v 205 3
v 206 6
v 207 3
v 208 9
v 209 5
v 210 9
v 211 1
v 212 6
v 213 3
v 214 9
v 215 2
v 216 5
v 217 7
v 218 1
v 219 6
v 220 4
v 221 7
v 222 1
v 223 7
v 224 6
v 225 5
v 226 7
v 227 4
v 228 4
v 229 3
v 230 1
v 231 1
v 232 8
v 233 1
v 234 2
v 235 1
v 236 6
v 237 7
v 238 2
v 239 1
v 240 4
v 241 5
v 242 8
v 243 3
v 244 6
v 245 3
v 246 1
v 247 4
v 248 4
v 249 2
v 250 6
v 251 8
v 252 2
v 253 4
v 254 5
v 255 4
v 256 3
v 257 4
v 258 3
v 259 2
v 260 7
v 261 0
v 262 2
v 263 1
v 264 5
v 265 7
v 266 4
v 267 2
v 268 2
v 269 7
v 270 0
v 271 0
v 272 4
v 273 7
v 274 7
v 275 2
v 276 2
v 277 1
v 278 7
v 279 2
v 280 3
v 281 0
v 282 7
v 283 1
v 284 1
v 285 5
v 286 6
v 287 4
v 288 8
v 289 4
v 290 8
v 291 0
v 292 3
v 293 0
v 294 4
v 295 0
v 296 8
v 297 0
v 298 6
v 299 9
v 300 9
v 301 9
v 302 9
v 303 4
v 304 8
v 305 4
v 306 2
v 307 2
v 308 4
v 309 8
v 310 3
v 311 4
v 312 9
v 313 9
v 314 5
v 315 7
