t # 0
v 0 6
v 1 6
v 2 2
v 3 1
v 4 1
v 5 1
v 6 4
v 7 0
v 8 0
v 9 0
v 10 5
v 11 7
v 12 7
v 13 0
v 14 5
v 15 8
v 16 2
v 17 6
v 18 8
v 19 3
v 20 8
v 21 8
v 22 5
v 23 0
v 24 9
v 25 8
v 26 1
v 27 5
v 28 7
v 29 2
v 30 0
v 31 5
v 32 1
v 33 3
v 34 9
v 35 7
v 36 8
v 37 7
v 38 7
v 39 4
v 40 8
v 41 6
v 42 8
v 43 2
v 44 1
v 45 0
v 46 1
v 47 8
v 48 0
v 49 4
v 50 8
v 51 3
v 52 3
v 53 9
v 54 2
v 55 5
v 56 5
v 57 3
v 58 3
v 59 2
v 60 9
v 61 5
v 62 8
v 63 4
v 64 4
v 65 7
v 66 9
v 67 3
v 68 7
v 69 8
v 70 1
v 71 3
v 72 6
v 73 1
v 74 7
v 75 7
v 76 6
v 77 2
v 78 6
v 79 1
v 80 5
v 81 5
v 82 8
v 83 2
v 84 2
v 85 1
v 86 8
v 87 7
v 88 6
v 89 6
v 90 0
v 91 3
v 92 9
v 93 9
v 94 8
v 95 5
v 96 4
v 97 4
v 98 0
v 99 4
v 100 7
v 101 1
v 102 7
v 103 4
v 104 9
v 105 1
v 106 2
v 107 1
v 108 6
v 109 1
v 110 2
v 111 3
v 112 8
v 113 1
v 114 7
v 115 6
v 116 8
v 117 5
v 118 5
v 119 0
v 120 4
v 121 8
v 122 4
v 123 2
v 124 2
v 125 6
v 126 8
v 127 0
v 128 2
v 129 0
v 130 2
v 131 3
v 132 0
v 133 8
v 134 3
v 135 1
v 136 1
v 137 5
v 138 0
v 139 1
v 140 4
v 141 8
v 142 5
v 143 4
v 144 4
v 145 2
v 146 9
v 147 6
v 148 4
v 149 6
v 150 8
v 151 1
v 152 6
v 153 5
v 154 4
v 155 2
v 156 6
v 157 4
v 158 9
v 159 4
v 160 5
v 161 4
v 162 8
v 163 0
v 164 5
v 165 0
v 166 3
v 167 6
v 168 1
v 169 8
v 170 1
v 171 7
v 172 7
v 173 5
v 174 1
v 175 1
v 176 0
v 177 8
v 178 5
v 179 1
v 180 9
v 181 0
v 182 0
v 183 6
v 184 1
v 185 2
v 186 4
v 187 5
v 188 6
v 189 7
v 190 8
v 191 7
v 192 2
v 193 0
v 194 8
v 195 4
v 196 2
v 197 2
v 198 2
v 199 0
v 200 0
v 201 0
v 202 2
v 203 4
v 204 3
v 205 7
v 206 8
v 207 1
v 208 6
v 209 0
v 210 7
v 211 5
v 212 6
v 213 8
v 214 8
v 215 0
v 216 4
v 217 1
v 218 1
v 219 6
v 220 3
v 221 4
v 222 5
v 223 0
v 224 5
v 225 8
v 226 2
v 227 8
v 228 1
v 229 0
v 230 1
v 231 6
v 232 9
v 233 8
v 234 2
v 235 8
v 236 9
v 237 5
v 238 7
v 239 5
v 240 5
v 241 0
v 242 8
v 243 5
v 244 4
v 245 6
v 246 2
v 247 7
v 248 3
v 249 4
v 250 8
v 251 7
v 252 2
v 253 0
v 254 0
v 255 5
v 256 8
v 257 9
v 258 2
v 259 4
v 260 6
v 261 6
v 262 8
v 263 8
v 264 0
v 265 4
v 266 4
v 267 1
v 268 7
v 269 1
v 270 8
v 271 6
v 272 9
v 273 5
v 274 7
v 275 6
v 276 9
v 277 0
v 278 9
v 279 6
v 280 5
v 281 3
v 282 9
v 283 1
v 284 2
v 285 6
v 286 8
v 287 0
v 288 7
v 289 6
v 290 6
v 291 8
v 292 2
v 293 6
v 294 8
v 295 6
v 296 1
v 297 0
v 298 4
v 299 5
v 300 2
v 301 0
v 302 4
v 303 9
v 304 4
v 305 0
v 306 3
v 307 6
v 308 5
v 309 2
v 310 4
v 311 2
v 312 9
v 313 8
v 314 0
v 315 2
v 316 0
v 317 9
v 318 6
v 319 0
v 320 0
v 321 4
v 322 7
v 323 4
v 324 6
v 325 6
v 326 1
v 327 9
v 328 2
v 329 9
v 330 5
v 331 9
v 332 3
v 333 8
v 334 1
v 335 8
v 336 6
v 337 3
v 338 8
v 339 4
v 340 0
v 341 8
v 342 4
v 343 8
v 344 7
v 345 1
v 346 9
v 347 5
v 348 5
v 349 0
v 350 5
v 351 5
v 352 1
v 353 7
v 354 9
v 355 1
v 356 4
v 357 4
v 358 8
v 359 8
v 360 6
v 361 9
v 362 9
v 363 7
v 364 0
v 365 8
v 366 6
v 367 2
v 368 8
v 369 9
v 370 8
v 371 3
v 372 9
v 373 6
v 374 4
v 375 1
v 376 1
v 377 0
v 378 4
v 379 4
v 380 1
v 381 8
v 382 1
v 383 3
v 384 0
v 385 2
v 386 7
v 387 1
v 388 0
v 389 7
v 390 7
v 391 0
v 392 8
v 393 7
v 394 7
v 395 4
v 396 2
v 397 9
v 398 5
v 399 1
v 400 2
v 401 7
v 402 1
v 403 7
v 404 0
v 405 9
v 406 2
v 407 0
v 408 8
v 409 1
v 410 4
v 411 5
v 412 9
v 413 9
v 414 2
v 415 1
v 416 7
v 417 7
v 418 1
v 419 3
v 420 5
v 421 7
v 422 3
v 423 6
v 424 1
v 425 2
v 426 4
v 427 3
v 428 4
v 429 1
v 430 4
v 431 4
v 432 7
v 433 4
v 434 2
v 435 7
v 436 8
v 437 9
v 438 9
v 439 9
v 440 3
v 441 2
v 442 5
v 443 1
v 444 7
v 445 5
v 446 7
v 447 2
v 448 5
v 449 6
v 450 2
v 451 4
v 452 6
v 453 7
v 454 5
v 455 0
v 456 6
v 457 0
v 458 8
v 459 8
v 460 7
v 461 9
v 462 5
v 463 4
v 464 8
v 465 8
v 466 9
v 467 2
v 468 2
v 469 6
v 470 5
v 471 5
v 472 4
v 473 4
v 474 3
v 475 0
v 476 2
v 477 2
v 478 8
v 479 6
v 480 2
v 481 5
v 482 2
v 483 3
v 484 9
v 485 7
v 486 0
v 487 9
v 488 9
v 489 7
v 490 4
v 491 2
v 492 1
v 493 4
v 494 9
v 495 2
v 496 3
v 497 5
v 498 6
v 499 6
v 500 8
v 501 6
v 502 9
v 503 6
v 504 5
v 505 8
v 506 1
v 507 0
v 508 5
v 509 3
v 510 1
v 511 3
v 512 6
v 513 0
v 514 0
v 515 5
v 516 5
v 517 9
v 518 7
v 519 0
v 520 4
v 521 4
v 522 0
v 523 8
v 524 7
v 525 4
v 526 4
v 527 7
v 528 9
v 529 4
v 530 8
v 531 5
v 532 4
v 533 7
v 534 5
v 535 6
v 536 5
v 537 4
v 538 6
v 539 6
v 540 9
v 541 4
v 542 0
v 543 2
v 544 7
v 545 2
v 546 6
v 547 6
v 548 7
v 549 6
v 550 9
v 551 2
v 552 9
v 553 8
v 554 4
v 555 9
v 556 7
v 557 8
v 558 1
v 559 5
v 560 3
v 561 1
v 562 0
v 563 5
v 564 0
v 565 6
v 566 0
v 567 1
v 568 5
v 569 2
v 570 8
v 571 0
v 572 2
v 573 4
v 574 9
v 575 7
v 576 6
v 577 3
v 578 0
v 579 1
v 580 7
v 581 3
v 582 3
v 583 9
v 584 7
v 585 6
v 586 3
v 587 2
v 588 6
v 589 5
v 590 3
v 591 1
v 592 4
v 593 8
v 594 5
v 595 5
v 596 3
v 597 2
v 598 0
v 599 2
v 600 8
v 601 1
v 602 8
v 603 0
v 604 9
v 605 0
v 606 3
v 607 0
v 608 3
v 609 9
v 610 3
v 611 9
v 612 1
v 613 8
v 614 9
v 615 6
v 616 0
v 617 1
v 618 0
v 619 7
v 620 0
v 621 2
v 622 7
v 623 7
v 624 8
v 625 1
v 626 7
v 627 8
v 628 0
v 629 6
v 630 0
v 631 1
v 632 1
v 633 9
v 634 0
v 635 5
v 636 4
v 637 9
v 638 2
v 639 9
v 640 6
v 641 3
v 642 9
v 643 9
v 644 0
v 645 7
v 646 3
v 647 9
v 648 5
v 649 6
v 650 3
v 651 9
v 652 6
v 653 3
v 654 3
v 655 1
v 656 0
v 657 4
v 658 8
v 659 4
v 660 9
v 661 4
v 662 7
v 663 3
v 664 9
v 665 4
v 666 3
v 667 5
v 668 9
v 669 1
v 670 2
v 671 1
v 672 7
v 673 5
v 674 3
v 675 7
v 676 5
v 677 0
v 678 1
v 679 6
v 680 6
v 681 2
v 682 5
v 683 1
v 684 9
v 685 7
v 686 9
v 687 7
v 688 1
v 689 1
v 690 2
v 691 0
v 692 2
v 693 1
v 694 8
v 695 8
v 696 1
v 697 9
v 698 0
v 699 8
v 700 1
v 701 6
v 702 1
v 703 5
v 704 7
v 705 8
v 706 9
v 707 3
v 708 2
v 709 9
v 710 6
v 711 2
v 712 0
v 713 8
v 714 9
v 715 3
v 716 6
v 717 5
v 718 4
v 719 7
v 720 7
v 721 2
v 722 3
v 723 6
v 724 8
v 725 5
v 726 1
v 727 3
v 728 0
v 729 4
v 730 1
v 731 3
v 732 7
v 733 5
v 734 6
v 735 5
v 736 1
v 737 6
v 738 2
v 739 0
v 740 9
v 741 6
v 742 3
v 743 2
v 744 4
v 745 1
v 746 7
v 747 9
v 748 9
v 749 7
v 750 6
v 751 2
v 752 4
v 753 9
v 754 2
v 755 2
v 756 7
v 757 2
v 758 4
v 759 0
v 760 5
v 761 6
v 762 4
v 763 8
v 764 8
v 765 6
v 766 9
v 767 9
v 768 3
v 769 3
v 770 0
v 771 9
v 772 8
v 773 6
v 774 0
v 775 9
v 776 5
v 777 0
v 778 4
v 779 6
v 780 7
v 781 9
v 782 3
v 783 7
v 784 0
v 785 7
v 786 8
v 787 6
v 788 9
v 789 6
v 790 6
v 791 5
v 792 4
v 793 3
v 794 4
v 795 7
v 796 3
v 797 5
