t # 0
v 0 8
v 1 0
v 2 8
v 3 4
v 4 5
v 5 0
v 6 0
v 7 1
v 8 2
v 9 5
v 10 2
v 11 0
v 12 7
v 13 6
v 14 2
v 15 1
v 16 2
v 17 9
v 18 0
v 19 5
v 20 7
v 21 3
v 22 3
v 23 1
v 24 5
v 25 6
v 26 2
v 27 0
v 28 4
v 29 6
v 30 9
v 31 5
v 32 1
v 33 4
v 34 4
v 35 2
v 36 3
v 37 8
v 38 4
v 39 8
v 40 0
v 41 7
v 42 3
v 43 6
v 44 5
v 45 1
v 46 2
v 47 9
v 48 0
v 49 5
v 50 0
v 51 5
v 52 3
v 53 9
v 54 6
v 55 2
v 56 2
v 57 7
v 58 2
v 59 5
v 60 6
v 61 3
v 62 1
v 63 1
v 64 2
v 65 9
v 66 7
v 67 7
v 68 0
v 69 6
v 70 7
v 71 7
v 72 9
v 73 9
v 74 6
v 75 8
v 76 3
v 77 6
v 78 6
v 79 2
v 80 8
v 81 6
v 82 2
v 83 8
v 84 8
v 85 8
v 86 6
v 87 5
v 88 8
v 89 3
v 90 3
v 91 0
v 92 1
v 93 1
v 94 7
v 95 7
v 96 3
v 97 8
v 98 0
v 99 2
v 100 6
v 101 0
v 102 9
v 103 4
v 104 8
v 105 7
v 106 4
v 107 8
v 108 2
v 109 9
v 110 8
v 111 4
v 112 2
v 113 6
v 114 8
v 115 4
v 116 8
v 117 3
v 118 8
v 119 3
v 120 8
v 121 2
v 122 5
v 123 8
v 124 0
v 125 8
v 126 8
v 127 6
v 128 3
v 129 1
v 130 3
v 131 1
v 132 4
v 133 9
v 134 9
v 135 5
v 136 3
v 137 7
v 138 7
v 139 3
v 140 7
v 141 8
v 142 9
v 143 0
v 144 5
v 145 2
v 146 1
v 147 7
v 148 4
v 149 6
v 150 3
v 151 9
v 152 3
v 153 9
v 154 3
v 155 4
v 156 7
v 157 1
v 158 7
v 159 8
v 160 0
v 161 0
v 162 2
v 163 6
v 164 0
v 165 8
v 166 5
v 167 3
v 168 8
v 169 3
v 170 2
v 171 6
v 172 6
v 173 7
v 174 6
v 175 9
v 176 9
v 177 2
v 178 4
v 179 3
v 180 8
v 181 8
v 182 6
v 183 9
v 184 7
v 185 3
v 186 7
v 187 0
v 188 4
v 189 6
v 190 6
v 191 2
v 192 2
v 193 5
v 194 8
v 195 9
v 196 3
v 197 5
v 198 3
v 199 0
v 200 4
v 201 6
v 202 0
v 203 0
v 204 2
v 205 7
v 206 4
v 207 2
v 208 9
v 209 7
v 210 1
v 211 5
v 212 9
v 213 4
v 214 1
v 215 7
v 216 3
v 217 3
v 218 8
v 219 4
v 220 7
v 221 9
v 222 7
v 223 3
v 224 5
v 225 3
v 226 3
v 227 9
v 228 5
v 229 3
v 230 1
v 231 2
v 232 0
v 233 9
v 234 3
v 235 0
v 236 4
v 237 8
v 238 9
v 239 5
v 240 4
v 241 9
v 242 9
v 243 0
v 244 4
v 245 4
v 246 9
v 247 2
v 248 8
v 249 9
v 250 6
v 251 8
v 252 8
v 253 2
v 254 2
v 255 4
v 256 1
v 257 1
v 258 7
v 259 9
v 260 2
v 261 2
v 262 1
v 263 3
v 264 3
v 265 8
v 266 4
v 267 4
v 268 1
v 269 3
v 270 9
